gameId,gameName,candidateTitle,candidateSource,matchScore,matched,reasons,type,reviewFlag,label
7346,The Legend of Zelda: Breath of the Wild,The Legend of Zelda : Breath of the Wild (v1.6 + 2 DLCs + MULTi8) – Yuzu PC Emulator – No Install – Direct Play,Hydra Library (DODI Repacks),75,true,"exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|platform info present|platform not in IGDB (emulator)|hydra extra tokens (install, direct, play)|ml probability 0.52",top_candidate,,
119133,Elden Ring,"ELDEN RING: Deluxe Edition (v1.10.1 + DLC + Bonus Content + Windows 7 Fix, MULTi14) [FitGirl Repack, Selective Download - from 34 GB]",Hydra Library (FitGirl Repacks),115,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|edition variant|ml probability 0.89,top_candidate,,
26758,Super Mario Odyssey,Super Mario Odyssey – v1.3.0 + Yuzu Emu for PC,Hydra Library (FitGirl Repacks),95,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|platform info present|platform not in IGDB (emulator)|hydra extra tokens (for)|ml probability 0.59,top_candidate,,
12517,Undertale,Undertale Free Download (v1.08c),Hydra Library (steamrip),145,false,exact name match|exact phrase in title|title contains game name|single-word partial match|strong title match|game name contains title|very high word match ratio|all main keywords present|ml probability 0.09,broad_candidate,,1
1078,Super Mario Galaxy 2,"Super Mario Galaxy + Super Mario Galaxy 2, v1.2.0 + 5 Switch Emulators",Hydra Library (FitGirl Repacks),120,true,exact phrase in title|title contains game name|very high word match ratio|all main keywords present|sequel number matches|platform info present|platform not in IGDB (emulator)|ml probability 0.92,top_candidate,,
19560,God of War,"God of War (v1.0.12 + Bonus OST + Windows 7 Fix, MULTi18) [FitGirl Repack, Selective Download - from 26 GB]",Hydra Library (FitGirl Repacks),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|ml probability 0.95,top_candidate,,
1985,Metal Gear Solid V: The Phantom Pain,Metal Gear Solid V: The Phantom Pain (v1.15 + All DLCs + MULTi8) - [DODI Repack],Hydra Library (DODI Repacks),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|ml probability 0.94,top_candidate,,
74,Mass Effect 2,Mass Effect 2 Enhanced Edition Free Download (v1.02),Hydra Library (SteamRip),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|edition variant|ml probability 0.98,top_candidate,,
119388,The Legend of Zelda: Tears of the Kingdom,"The Legend of Zelda: Tears of the Kingdom (v1.0.0 + Switch Emulators, MULTi10) [FitGirl Repack]",Hydra Library (fitgirl),150,false,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|platform not in IGDB|ml probability 0.10,broad_candidate,,1
119388,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom Free Download (v1.1.1 + YUZU EMU),Hydra Library (steamrip),150,false,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|platform not in IGDB|ml probability 0.10,broad_candidate,,1
