gameId,gameName,candidateTitle,candidateSource,matchScore,matched,reasons,type,reviewFlag,label
272,Unreal Tournament,Unreal Tournament [] [RUS] (1999) [Mod],Hydra Library (RuTracker | All Categories),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|ml probability 0.90,top_candidate,,
240009,Elden Ring: Shadow of the Erdtree,Elden Ring Shadow Of The Erdtree,Hydra Library (World of PC Games (By Smealm)),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|ml probability 0.90,top_candidate,,
565,Uncharted 2: Among Thieves,Uncharted 2: Among Thieves (2009) PS3,Hydra Library (Wkeynhk Source),105,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|sequel number matches|hydra extra tokens (ps3)|ml probability 0.69,top_candidate,,
119388,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom – v1.0.0 + Switch Emulators,Hydra Library (arSS (By alllibrary-web)),80,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|platform info present|platform not in IGDB (emulator)|bundle/collection penalty|ml probability 0.72,top_candidate,,
7893,Legacy of Kain: Soul Reaver 2,Legacy of Kain: Soul Reaver 2 [RUS] [Русский Проект] 2001,Hydra Library (RuTracker | All Categories),150,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|sequel number matches|edition variant|release year matches|ml probability 0.96,top_candidate,,
730,Grand Theft Auto III,Grand Theft Auto III (3): Gold [P] [RUS / ENG] (2002) (1.1) [7Wolf],Hydra Library (RuTracker | All Categories),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|edition variant|ml probability 0.98,top_candidate,,
654,Company of Heroes,Company of Heroes [L] [RUS / RUS] (2006) (1.20 / 2.101) [Бука],Hydra Library (RuTracker | All Categories),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|ml probability 0.90,top_candidate,,
119171,Baldur's Gate III,Baldur's Gate III (3) [amd64] [Multi] [Native],Hydra Library (RuTracker | Linux only),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|ml probability 0.94,top_candidate,,
538,BioShock Infinite,BioShock Infinite Complete Edition,Hydra Library (Free GOG),125,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|edition variant|bundle/collection penalty|ml probability 0.94,top_candidate,,
228525,Hades II,Hades II v.1.133066 [Папка игры] (2025),Hydra Library (ByXatab),125,true,phrase partially matches|title contains game name|strong title match|very high word match ratio|all main keywords present|sequel number matches|edition variant|ml probability 0.88,top_candidate,,
277,Battlefield 2,"[CD] Battlefield 2 [L] [ENG / ENG] (2005, FPS) (1.0.2442.0) [Electronic Arts]",Hydra Library (RuTracker | All Categories),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|ml probability 0.94,top_candidate,,
132,Warcraft III: Reign of Chaos,"Warcraft III: Reign of Chaos [P] [RUS / RUS] (2002, RTS) (1.00) [Warhazard: Return of Darkness, Mod] [Torum Media]",Hydra Library (Wkeynhk Source),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|ml probability 0.94,top_candidate,,
26845,Fire Emblem: Three Houses,Fire Emblem Three Houses Emu,Hydra Library (World of PC Games (By Smealm)),110,true,exact phrase in title|title contains game name|strong title match|very high word match ratio|all main keywords present|edition variant|platform not in IGDB (emulator)|ml probability 0.90,top_candidate,,
191692,Street Fighter 6,Street Fighter 6 [Build 21420575],Hydra Library (Anti-Denuvo Sanctuary),150,true,exact name match|exact phrase in title|title contains game name|strong title match|game name contains title|very high word match ratio|all main keywords present|sequel number matches|ml probability 0.94,top_candidate,,
